feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
z_forty,1.03778,0.26439,8.6662e-05,TE,drafted,230,0.257543,0.00222845
z_bench,-0.221483,0.207483,0.285757,TE,drafted,230,0.257543,0.584146
z_vertical,0.346144,0.273206,0.205165,TE,drafted,230,0.257543,0.492396
z_broad,-0.0432612,0.266529,0.871059,TE,drafted,230,0.257543,0.932402
z_cone,-0.171617,0.244403,0.48256,TE,drafted,230,0.257543,0.736109
z_shuttle,0.159842,0.261555,0.541119,TE,drafted,230,0.257543,0.760948
forty_missing,-0.710753,0.619119,0.250965,TE,drafted,230,0.257543,0.544262
bench_missing,-0.38509,0.43773,0.378999,TE,drafted,230,0.257543,0.623729
vertical_missing,-1.96572,1.98335,0.32163,TE,drafted,230,0.257543,0.610535
broad_missing,3.15882,1.73085,0.0679984,TE,drafted,230,0.257543,0.298658
agility_missing,-0.635994,0.529564,0.229761,TE,drafted,230,0.257543,0.523506
power_conf,1.32115,0.474397,0.00535433,TE,drafted,230,0.257543,0.048189
final_rec_yds_share,0.45396,0.309499,0.142443,TE,drafted,230,0.257543,0.434571
final_rec_ypg,0.590972,0.353176,0.0942668,TE,drafted,230,0.257543,0.334012
final_yds_per_target,-0.0376748,0.28894,0.896258,TE,drafted,230,0.257543,0.932402
final_rec_ypr,-0.207062,0.31179,0.506622,TE,drafted,230,0.257543,0.747476
college_seasons,-0.189733,0.245706,0.439999,TE,drafted,230,0.257543,0.694736
draft_year_c,0.34014,0.804574,0.672471,TE,drafted,230,0.257543,0.843823
z_height_in,0.086798,0.0546858,0.112465,TE,draft_capital,230,0.389573,0.374882
z_weight_lb,0.0713167,0.0537981,0.184961,TE,draft_capital,230,0.389573,0.528171
z_forty,0.163175,0.0699673,0.0196924,TE,draft_capital,230,0.389573,0.131283
z_bench,-0.0326711,0.0512665,0.523943,TE,draft_capital,230,0.389573,0.792519
z_vertical,0.0225706,0.0885993,0.798917,TE,draft_capital,230,0.389573,0.971656
z_broad,0.144823,0.0883828,0.101299,TE,draft_capital,230,0.389573,0.364676
z_cone,-0.0388439,0.0601916,0.518709,TE,draft_capital,230,0.389573,0.792519
