feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
fbs,0.285862,0.0788497,0.000288515,RB,draft_capital,901,0.238807,0.00185932
draft_year_c,-0.164927,0.0429212,0.000121766,RB,draft_capital,901,0.238807,0.00100892
z_height_in,0.0331949,0.0485224,0.493902,WR,log_pick,730,0.252011,0.648028
z_weight_lb,0.113877,0.0511968,0.026129,WR,log_pick,730,0.252011,0.0895161
z_forty,0.20868,0.0340706,9.07151e-10,WR,log_pick,730,0.252011,2.39747e-08
z_bench,0.0231929,0.0313232,0.459035,WR,log_pick,730,0.252011,0.6204
z_vertical,0.000887965,0.0373151,0.981015,WR,log_pick,730,0.252011,0.991736
z_broad,0.0611507,0.0399356,0.125712,WR,log_pick,730,0.252011,0.250072
z_cone,0.0551599,0.0340765,0.10551,WR,log_pick,730,0.252011,0.2271
z_shuttle,0.0457372,0.0339872,0.178394,WR,log_pick,730,0.252011,0.326762
forty_missing,0.420278,0.200729,0.036281,WR,log_pick,730,0.252011,0.113762
bench_missing,0.164798,0.0705517,0.0194996,WR,log_pick,730,0.252011,0.0707339
vertical_missing,0.285646,0.141214,0.0430949,WR,log_pick,730,0.252011,0.12928
broad_missing,-0.0466395,0.132917,0.725669,WR,log_pick,730,0.252011,0.844332
agility_missing,0.167806,0.0771157,0.0295526,WR,log_pick,730,0.252011,0.0959162
age_at_draft,-0.275629,0.0296814,1.59824e-20,WR,log_pick,730,0.252011,2.95675e-18
power_conf,0.147055,0.0669395,0.0280318,WR,log_pick,730,0.252011,0.0926051
fbs,0.264135,0.14013,0.0594389,WR,log_pick,730,0.252011,0.159365
draft_year_c,-0.12973,0.0521129,0.0127954,WR,log_pick,730,0.252011,0.0526033
z_height_in,-0.200535,0.0976087,0.0399296,WR,drafted,1247,0.162352,0.149523
z_weight_lb,0.310741,0.100431,0.00197419,WR,drafted,1247,0.162352,0.0171755
z_forty,0.92096,0.0834283,2.47971e-28,WR,drafted,1247,0.162352,4.3147e-26
z_bench,0.069682,0.0687016,0.310454,WR,drafted,1247,0.162352,0.495587
z_vertical,0.00523668,0.0892874,0.953231,WR,drafted,1247,0.162352,0.984286
z_broad,0.119257,0.0943892,0.206423,WR,drafted,1247,0.162352,0.398713
z_cone,0.194368,0.0796628,0.0146921,WR,drafted,1247,0.162352,0.0730407
z_shuttle,0.124743,0.0808194,0.122715,WR,drafted,1247,0.162352,0.300864
forty_missing,-0.287621,0.272677,0.291515,WR,drafted,1247,0.162352,0.487727
bench_missing,0.0802334,0.15068,0.594397,WR,drafted,1247,0.162352,0.733512
vertical_missing,-0.333892,0.320521,0.297543,WR,drafted,1247,0.162352,0.488419
broad_missing,0.322387,0.308094,0.295382,WR,drafted,1247,0.162352,0.488419
agility_missing,0.273008,0.16288,0.0937136,WR,drafted,1247,0.162352,0.253586
