pos_group,target,group,n,full_r2,delta_r2,partial_r2,f_stat,p_value,q_value
LB,draft_capital,explosion,792,0.234737,0.0122722,0.0157834,6.21416,0.00210201,0.00475871
LB,draft_capital,agility,792,0.234737,0.00197168,0.00256985,0.998384,0.368948,0.409105
LB,draft_capital,skipped_drills,792,0.234737,0.00301815,0.00392844,0.61131,0.691285,0.713161
LB,draft_capital,school_tier,792,0.234737,0.00861146,0.0111277,4.36051,0.0130867,0.0239677
CB,log_pick,size,631,0.248392,0.0241189,0.031092,9.83551,6.24592e-05,0.000212101
CB,log_pick,speed,631,0.248392,0.0454379,0.0570079,37.0585,2.02207e-09,1.26768e-08
CB,log_pick,strength,631,0.248392,0.00237092,0.00314455,1.93369,0.16486,0.208312
CB,log_pick,explosion,631,0.248392,0.0225144,0.0290838,9.18119,0.000117818,0.000369314
CB,log_pick,agility,631,0.248392,0.00394097,0.00521604,1.6071,0.201312,0.246721
CB,log_pick,skipped_drills,631,0.248392,0.0148596,0.0193871,2.42385,0.0343748,0.0577638
CB,log_pick,age,631,0.248392,0.0549209,0.0680954,44.7926,4.95049e-11,5.04331e-10
CB,log_pick,school_tier,631,0.248392,0.0172467,0.0224316,7.03305,0.000955214,0.00235909
CB,draft_capital,size,906,0.250801,0.0223785,0.0290035,13.2772,2.08087e-06,8.27272e-06
CB,draft_capital,speed,906,0.250801,0.0925677,0.109968,109.841,2.59179e-24,1.05615e-22
CB,draft_capital,strength,906,0.250801,0.00411666,0.00546473,4.88484,0.0273477,0.047422
CB,draft_capital,explosion,906,0.250801,0.0166984,0.0218023,9.90714,5.55434e-05,0.000192629
CB,draft_capital,agility,906,0.250801,0.00772464,0.0102053,4.58303,0.0104666,0.0198379
CB,draft_capital,skipped_drills,906,0.250801,0.00999284,0.0131625,2.3715,0.0376486,0.0607597
CB,draft_capital,school_tier,906,0.250801,0.013013,0.0170727,7.72064,0.000473977,0.00122632
S,log_pick,size,457,0.209175,0.00854422,0.0106887,2.37152,0.0945335,0.128583
S,log_pick,speed,457,0.209175,0.0605343,0.0711032,33.6036,1.29224e-08,7.02115e-08
S,log_pick,strength,457,0.209175,0.0033319,0.00419553,1.8496,0.174528,0.217161
S,log_pick,explosion,457,0.209175,0.00923391,0.0115415,2.56295,0.07823,0.110883
S,log_pick,agility,457,0.209175,0.0105088,0.0131142,2.91681,0.0551553,0.0832437
S,log_pick,skipped_drills,457,0.209175,0.015904,0.0197143,1.76572,0.118564,0.154607
S,log_pick,age,457,0.209175,0.0599317,0.0704452,33.2691,1.51617e-08,7.723e-08
S,log_pick,school_tier,457,0.209175,0.00888521,0.0111105,2.46617,0.0860855,0.118915
S,draft_capital,size,714,0.204027,0.0202243,0.0247787,8.85478,0.00015939,0.000490201
S,draft_capital,speed,714,0.204027,0.0950514,0.106677,83.2326,7.71985e-19,2.09722e-17
S,draft_capital,strength,714,0.204027,0.00285446,0.00357331,2.49953,0.114334,0.150294
S,draft_capital,explosion,714,0.204027,0.00581884,0.0072573,2.54766,0.0789934,0.110999
S,draft_capital,agility,714,0.204027,0.00757303,0.00942452,3.31569,0.0368825,0.0601184
S,draft_capital,skipped_drills,714,0.204027,0.0075878,0.00944272,1.32886,0.249887,0.29731
S,draft_capital,school_tier,714,0.204027,0.0043388,0.00542139,1.89965,0.150394,0.191518
