pos_group,feature,target,n,spearman_rho,p_value,q_value
LB,z_cone,draft_capital,437,0.268711,1.15343e-08,5.28015e-08
LB,z_shuttle,log_pick,295,0.171422,0.00314022,0.00590763
LB,z_shuttle,draft_capital,452,0.287158,4.98328e-10,2.89171e-09
LB,z_speed_score,log_pick,458,0.300605,5.09387e-11,3.27918e-10
LB,z_speed_score,draft_capital,692,0.441419,2.30348e-34,9.49035e-33
LB,z_bmi,log_pick,516,-0.0416392,0.345181,0.395041
LB,z_bmi,draft_capital,789,-0.0259001,0.467545,0.522029
LB,athletic_composite,log_pick,490,0.306958,3.76257e-12,2.81851e-11
LB,athletic_composite,draft_capital,743,0.421896,1.99416e-33,6.84662e-32
LB,drills_skipped,log_pick,517,0.0410298,0.351825,0.400622
LB,drills_skipped,draft_capital,792,-0.00179782,0.959712,0.966982
LB,age_at_draft,log_pick,510,-0.239471,4.38512e-08,1.75405e-07
LB,power_conf,log_pick,517,0.0486942,0.269088,0.314063
LB,power_conf,draft_capital,792,0.0472277,0.184261,0.225939
LB,fbs,log_pick,517,0.0360504,0.413368,0.467878
LB,fbs,draft_capital,792,0.0564708,0.112289,0.143229
LB,final_def_sacks_pg,log_pick,213,0.0544667,0.429046,0.484293
LB,final_def_sacks_pg,draft_capital,338,0.103588,0.0571049,0.0766359
LB,final_def_ball_production_pg,log_pick,213,0.053352,0.438566,0.493687
LB,final_def_ball_production_pg,draft_capital,338,0.00846193,0.876823,0.896405
LB,final_def_ff_pg,log_pick,213,0.0782368,0.2556,0.300878
LB,final_def_ff_pg,draft_capital,338,0.140638,0.00962843,0.0160604
LB,college_seasons,log_pick,213,-0.17647,0.00986221,0.016384
LB,college_seasons,draft_capital,338,-0.127025,0.0194838,0.0297308
CB,z_height_in,log_pick,643,0.142681,0.000283896,0.000646216
CB,z_height_in,draft_capital,906,0.0801035,0.0158806,0.0251646
CB,z_weight_lb,log_pick,643,0.14294,0.000276651,0.000645096
CB,z_weight_lb,draft_capital,906,0.148275,7.4057e-06,2.26011e-05
CB,z_forty,log_pick,607,0.288008,4.65592e-13,3.83648e-12
CB,z_forty,draft_capital,837,0.425753,3.52094e-38,2.07232e-36
CB,z_bench,log_pick,430,0.0986277,0.0409318,0.0577531
CB,z_bench,draft_capital,604,0.188705,3.0104e-06,9.68973e-06
CB,z_vertical,log_pick,499,0.198441,7.96193e-06,2.39439e-05
CB,z_vertical,draft_capital,701,0.229082,8.45034e-10,4.64205e-09
CB,z_broad,log_pick,496,0.247261,2.40888e-08,1.01271e-07
CB,z_broad,draft_capital,693,0.290947,5.49581e-15,5.95862e-14
CB,z_cone,log_pick,339,0.181708,0.000775843,0.00162258
CB,z_cone,draft_capital,466,0.225831,8.40549e-07,2.88589e-06
CB,z_shuttle,log_pick,355,0.212367,5.50034e-05,0.000140754
CB,z_shuttle,draft_capital,488,0.252424,1.57e-08,6.95528e-08
CB,z_speed_score,log_pick,607,0.34406,2.613e-18,3.71227e-17
CB,z_speed_score,draft_capital,837,0.459442,6.1172e-45,5.04057e-43
CB,z_bmi,log_pick,643,0.0238875,0.545423,0.599238
CB,z_bmi,draft_capital,906,0.0623037,0.0608526,0.0811368
CB,athletic_composite,log_pick,619,0.297343,4.20886e-14,4.03268e-13
CB,athletic_composite,draft_capital,868,0.406761,6.44185e-36,2.94894e-34
CB,drills_skipped,log_pick,643,0.0616001,0.11865,0.150412
CB,drills_skipped,draft_capital,906,-0.0135069,0.684733,0.725219
CB,age_at_draft,log_pick,631,-0.215187,4.79393e-08,1.88105e-07
CB,power_conf,log_pick,643,0.130476,0.000912204,0.00188858
CB,power_conf,draft_capital,906,0.0713205,0.0318328,0.045857
CB,fbs,log_pick,643,0.0859315,0.0293469,0.0425737
CB,fbs,draft_capital,906,0.0804174,0.0154723,0.0248039
CB,final_def_int_pg,log_pick,269,0.107262,0.0790707,0.103749
CB,final_def_int_pg,draft_capital,394,0.0887983,0.0783274,0.103102
CB,final_def_pbu_pg,log_pick,269,-0.102074,0.0947806,0.123185
CB,final_def_pbu_pg,draft_capital,394,-0.047012,0.352003,0.400622
CB,career_def_ball_production_pg,log_pick,269,-0.0054752,0.928778,0.944831
CB,career_def_ball_production_pg,draft_capital,394,-0.0151526,0.764305,0.793183
CB,college_seasons,log_pick,269,-0.116178,0.0570349,0.0766359
CB,college_seasons,draft_capital,394,-0.0635258,0.208314,0.253921
S,z_height_in,log_pick,460,-0.0254842,0.585632,0.640001
S,z_height_in,draft_capital,708,0.091708,0.0146456,0.0236627
S,z_weight_lb,log_pick,460,0.0208099,0.656207,0.702227
S,z_weight_lb,draft_capital,708,0.115707,0.00204447,0.00402795
S,z_forty,log_pick,418,0.321916,1.56025e-11,1.07137e-10
S,z_forty,draft_capital,645,0.419374,7.30714e-29,1.77091e-27
