feature,coef_early,std_err_early,p_value_early,coef_late,std_err_late,p_value_late,diff,p_value_diff,pos_group,n_early,n_late,q_value_diff
agility_missing,-0.147609,0.232848,0.526127,-0.299796,0.134966,0.0263331,-0.152186,0.571759,EDGE,293,354,0.952157
age_at_draft,-0.223368,0.0590252,0.000154151,-0.358775,0.0609231,3.8859e-09,-0.135407,0.110428,EDGE,293,354,0.887735
power_conf,-0.0101387,0.160097,0.949505,-0.0196667,0.144427,0.891687,-0.00952798,0.964753,EDGE,293,354,0.983292
fbs,0.66327,0.221542,0.00275462,0.52471,0.197422,0.00786517,-0.138559,0.640547,EDGE,293,354,0.952157
draft_year_c,-0.265263,0.162167,0.101893,-0.151177,0.167111,0.365652,0.114086,0.624181,EDGE,293,354,0.952157
z_height_in,0.0815142,0.0768023,0.288531,0.0443874,0.0597167,0.457301,-0.0371268,0.702741,IDL,229,263,0.952157
z_weight_lb,0.285039,0.0903682,0.00160943,0.1992,0.0704632,0.0046985,-0.0858388,0.45381,IDL,229,263,0.952157
z_forty,0.255207,0.0824825,0.00197431,0.144122,0.082508,0.080678,-0.111084,0.341017,IDL,229,263,0.952157
z_bench,0.167332,0.0714517,0.0191864,0.0770471,0.0517752,0.136722,-0.0902849,0.306217,IDL,229,263,0.952157
z_vertical,0.0030679,0.104159,0.976502,-0.00703737,0.0693655,0.919191,-0.0101053,0.935641,IDL,229,263,0.977494
z_broad,0.065892,0.101597,0.516622,0.196456,0.079241,0.0131671,0.130564,0.310899,IDL,229,263,0.952157
z_cone,0.42018,0.0920117,4.95727e-06,0.00487039,0.0677138,0.942661,-0.415309,0.00027762,IDL,229,263,0.0491387
z_shuttle,-0.339332,0.0931834,0.000271005,-0.0234426,0.0603608,0.697738,0.315889,0.00443828,IDL,229,263,0.266594
bench_missing,0.0636315,0.160371,0.691532,0.146205,0.142047,0.303351,0.082574,0.699913,IDL,229,263,0.952157
vertical_missing,0.1294,0.293386,0.659171,-0.103213,0.225717,0.64748,-0.232613,0.529742,IDL,229,263,0.952157
broad_missing,0.316501,0.368195,0.390009,-0.0313058,0.211709,0.882444,-0.347807,0.412841,IDL,229,263,0.952157
agility_missing,-0.290992,0.19512,0.135871,0.0586752,0.145984,0.687736,0.349667,0.151315,IDL,229,263,0.952157
age_at_draft,-0.270443,0.0658111,3.96709e-05,-0.227465,0.0590013,0.000115612,0.0429787,0.626786,IDL,229,263,0.952157
power_conf,0.333615,0.176044,0.0580841,0.273322,0.18133,0.131729,-0.0602922,0.811444,IDL,229,263,0.966466
fbs,0.591359,3.214,0.854017,0.228482,0.238561,0.33819,-0.362878,0.910351,IDL,229,263,0.976558
draft_year_c,-0.631843,0.208274,0.00241565,-0.345634,0.18205,0.0576223,0.286209,0.30083,IDL,229,263,0.952157
z_height_in,-0.0503825,0.0547667,0.3576,0.079671,0.0542152,0.141689,0.130053,0.0914826,LB,251,259,0.887735
z_weight_lb,0.106562,0.061693,0.0841147,0.136489,0.0542842,0.0119255,0.029927,0.71572,LB,251,259,0.952157
